audio_id,speaker_id,gender,audio_path,sampling_rate,num_samples,duration_sec,duration_range
CMPL_F_32_11ANG_00003,F_32,female,CMPL_F_32_11ANG_00003.flac,16000,52108,3.25675,2 a 5 s
CMPL_F_32_11ANG_00019,F_32,female,CMPL_F_32_11ANG_00019.flac,16000,37938,2.371125,2 a 5 s
CMPL_F_32_11ANG_00010,F_32,female,CMPL_F_32_11ANG_00010.flac,16000,43859,2.7411875,2 a 5 s
CMPL_F_32_11ANG_00005,F_32,female,CMPL_F_32_11ANG_00005.flac,16000,32581,2.0363125,2 a 5 s
CMPL_F_32_11ANG_00013,F_32,female,CMPL_F_32_11ANG_00013.flac,16000,32590,2.036875,2 a 5 s
CMPL_F_32_11ANG_00009,F_32,female,CMPL_F_32_11ANG_00009.flac,16000,49811,3.1131875,2 a 5 s
CMPL_F_32_11ANG_00007,F_32,female,CMPL_F_32_11ANG_00007.flac,16000,35609,2.2255625,2 a 5 s
CMPL_F_32_11ANG_00012,F_32,female,CMPL_F_32_11ANG_00012.flac,16000,37697,2.3560625,2 a 5 s
CMPL_F_32_11ANG_00011,F_32,female,CMPL_F_32_11ANG_00011.flac,16000,38533,2.4083125,2 a 5 s
CMPL_F_32_11ANG_00014,F_32,female,CMPL_F_32_11ANG_00014.flac,16000,48138,3.008625,2 a 5 s
CMPL_F_32_11ANG_00022,F_32,female,CMPL_F_32_11ANG_00022.flac,16000,41919,2.6199375,2 a 5 s
CMPL_F_32_11ANG_00006,F_32,female,CMPL_F_32_11ANG_00006.flac,16000,52108,3.25675,2 a 5 s
CMPL_F_20_05CAR_00054,F_20,female,CMPL_F_20_05CAR_00054.flac,16000,88642,5.540125,5 a 10 s
CMPL_F_20_04CAR_00023,F_20,female,CMPL_F_20_04CAR_00023.flac,16000,141324,8.83275,5 a 10 s
CMPL_F_20_04CAR_00043,F_20,female,CMPL_F_20_04CAR_00043.flac,16000,84682,5.292625,5 a 10 s
CMPL_F_20_05CAR_00059,F_20,female,CMPL_F_20_05CAR_00059.flac,16000,154979,9.6861875,5 a 10 s
CMPL_F_20_04CAR_00014,F_20,female,CMPL_F_20_04CAR_00014.flac,16000,121473,7.5920625,5 a 10 s
CMPL_F_20_05CAR_00051,F_20,female,CMPL_F_20_05CAR_00051.flac,16000,73452,4.59075,2 a 5 s
CMPL_F_20_04CAR_00035,F_20,female,CMPL_F_20_04CAR_00035.flac,16000,118272,7.392,5 a 10 s
CMPL_F_20_05CAR_00053,F_20,female,CMPL_F_20_05CAR_00053.flac,16000,39802,2.487625,2 a 5 s
CMPL_F_20_04CAR_00013,F_20,female,CMPL_F_20_04CAR_00013.flac,16000,89951,5.6219375,5 a 10 s
CMPL_F_20_04CAR_00025,F_20,female,CMPL_F_20_04CAR_00025.flac,16000,128434,8.027125,5 a 10 s
CMPL_F_20_04CAR_00009,F_20,female,CMPL_F_20_04CAR_00009.flac,16000,137749,8.6093125,5 a 10 s
CMPL_F_20_05CAR_00049,F_20,female,CMPL_F_20_05CAR_00049.flac,16000,93834,5.864625,5 a 10 s
CMPL_F_20_04CAR_00029,F_20,female,CMPL_F_20_04CAR_00029.flac,16000,170304,10.644,10 a 20 s
CMPL_F_20_04CAR_00036,F_20,female,CMPL_F_20_04CAR_00036.flac,16000,63229,3.9518125,2 a 5 s
CMPL_F_20_04CAR_00031,F_20,female,CMPL_F_20_04CAR_00031.flac,16000,135585,8.4740625,5 a 10 s
CMPL_F_20_04CAR_00015,F_20,female,CMPL_F_20_04CAR_00015.flac,16000,63794,3.987125,2 a 5 s
CMPL_F_20_05CAR_00071,F_20,female,CMPL_F_20_05CAR_00071.flac,16000,106716,6.66975,5 a 10 s
CMPL_F_20_05CAR_00067,F_20,female,CMPL_F_20_05CAR_00067.flac,16000,119311,7.4569375,5 a 10 s
CMPL_F_20_04CAR_00034,F_20,female,CMPL_F_20_04CAR_00034.flac,16000,96537,6.0335625,5 a 10 s
CMPL_F_20_05CAR_00068,F_20,female,CMPL_F_20_05CAR_00068.flac,16000,165651,10.3531875,10 a 20 s
CMPL_F_20_04CAR_00027,F_20,female,CMPL_F_20_04CAR_00027.flac,16000,108393,6.7745625,5 a 10 s
CMPL_F_20_04CAR_00026,F_20,female,CMPL_F_20_04CAR_00026.flac,16000,139725,8.7328125,5 a 10 s
CMPL_F_20_04CAR_00005,F_20,female,CMPL_F_20_04CAR_00005.flac,16000,68875,4.3046875,2 a 5 s
CMPL_F_20_04CAR_00011,F_20,female,CMPL_F_20_04CAR_00011.flac,16000,113755,7.1096875,5 a 10 s
CMPL_F_20_05CAR_00060,F_20,female,CMPL_F_20_05CAR_00060.flac,16000,170878,10.679875,10 a 20 s
CMPL_F_20_05CAR_00065,F_20,female,CMPL_F_20_05CAR_00065.flac,16000,138827,8.6766875,5 a 10 s
CMPL_F_20_04CAR_00003,F_20,female,CMPL_F_20_04CAR_00003.flac,16000,108393,6.7745625,5 a 10 s
CMPL_F_20_04CAR_00017,F_20,female,CMPL_F_20_04CAR_00017.flac,16000,55890,3.493125,2 a 5 s
CMPL_F_20_04CAR_00007,F_20,female,CMPL_F_20_04CAR_00007.flac,16000,149604,9.35025,5 a 10 s
CMPL_F_20_04CAR_00018,F_20,female,CMPL_F_20_04CAR_00018.flac,16000,45352,2.8345,2 a 5 s
CMPL_F_20_04CAR_00046,F_20,female,CMPL_F_20_04CAR_00046.flac,16000,65864,4.1165,2 a 5 s
